Time,TESTZONE:WINTER DESIGN:Des Heat Load [W],TESTZONE:SUMMER DESIGN:Des Sens Cool Load [W],TESTZONE:WINTER DESIGN:Des Heat Mass Flow [kg/s],TESTZONE:SUMMER DESIGN:Des Cool Mass Flow [kg/s] 
13:10:00,3.042498E+03,8.274557E+03,9.946226E-02,8.115406E-01 
13:20:00,3.016983E+03,8.311618E+03,9.862815E-02,8.151755E-01 
13:30:00,2.992585E+03,8.351073E+03,9.783059E-02,8.190452E-01 
13:40:00,2.969261E+03,8.390816E+03,9.706812E-02,8.229431E-01 
13:50:00,2.946963E+03,8.429982E+03,9.633916E-02,8.267845E-01 
14:00:00,2.925642E+03,8.468197E+03,9.564218E-02,8.305324E-01 
14:10:00,2.905254E+03,8.504768E+03,9.497569E-02,8.341191E-01 
14:20:00,2.885756E+03,8.543098E+03,9.433827E-02,8.378783E-01 
14:30:00,2.867106E+03,8.590080E+03,9.372860E-02,8.424861E-01 
14:40:00,2.849265E+03,8.648605E+03,9.314537E-02,8.482261E-01 
14:50:00,2.832196E+03,8.719824E+03,9.258739E-02,8.552110E-01 
15:00:00,2.815864E+03,8.804227E+03,9.205349E-02,8.634891E-01 
15:10:00,2.800236E+03,8.901725E+03,9.154258E-02,8.730514E-01 
15:20:00,2.785278E+03,9.007825E+03,9.105360E-02,8.834574E-01 
15:30:00,2.770961E+03,9.115654E+03,9.058557E-02,8.940329E-01 
15:40:00,2.757256E+03,9.221769E+03,9.013754E-02,9.044403E-01 
15:50:00,2.744135E+03,9.324115E+03,8.970861E-02,9.144779E-01 
16:00:00,2.731572E+03,9.421040E+03,8.929792E-02,9.239838E-01 
16:10:00,2.719542E+03,9.511920E+03,8.890465E-02,9.328969E-01 
16:20:00,2.708021E+03,9.596032E+03,8.852804E-02,9.411460E-01 
16:30:00,2.696987E+03,9.669847E+03,8.816734E-02,9.483853E-01 
16:40:00,2.686419E+03,9.732653E+03,8.782185E-02,9.545449E-01 
16:50:00,2.676295E+03,9.783058E+03,8.749090E-02,9.594883E-01 
17:00:00,2.666596E+03,9.819180E+03,8.717384E-02,9.630307E-01 
17:10:00,2.657304E+03,9.838717E+03,8.687006E-02,9.649466E-01 
17:20:00,2.648400E+03,9.838965E+03,8.657900E-02,9.649707E-01 
17:30:00,2.639868E+03,9.818055E+03,8.630008E-02,9.629197E-01 
17:40:00,2.631691E+03,9.770853E+03,8.603279E-02,9.582900E-01 
17:50:00,2.623855E+03,9.692195E+03,8.577661E-02,9.505753E-01 
18:00:00,2.616344E+03,9.575695E+03,8.553107E-02,9.391491E-01 
18:10:00,2.177139E+03,7.935804E+03,7.117299E-02,7.783145E-01 
18:20:00,1.739264E+03,6.305148E+03,5.685841E-02,6.183856E-01 
18:30:00,1.302665E+03,4.689142E+03,4.258551E-02,4.598936E-01 
18:40:00,8.672878E+02,3.094249E+03,2.835256E-02,3.034724E-01 
18:50:00,4.330823E+02,1.570873E+03,1.415792E-02,1.514907E-01 
19:00:00,0.000000E+00,1.169599E+02,0.000000E+00,4.423508E-03 
19:10:00,0.000000E+00,1.746998E+02,0.000000E+00,6.601357E-03 
19:20:00,0.000000E+00,2.290736E+02,0.000000E+00,8.652233E-03 
19:30:00,0.000000E+00,2.805386E+02,0.000000E+00,1.059340E-02 
19:40:00,0.000000E+00,3.273017E+02,0.000000E+00,1.235721E-02 
19:50:00,0.000000E+00,3.263227E+02,0.000000E+00,1.230860E-02 
20:00:00,0.000000E+00,2.890494E+02,0.000000E+00,1.090241E-02 
20:10:00,0.000000E+00,2.632364E+02,0.000000E+00,9.928780E-03 
20:20:00,0.000000E+00,2.359184E+02,0.000000E+00,8.898397E-03 
20:30:00,0.000000E+00,2.066918E+02,0.000000E+00,7.796023E-03 
20:40:00,0.000000E+00,1.774250E+02,0.000000E+00,6.692132E-03 
20:50:00,0.000000E+00,1.484037E+02,0.000000E+00,5.597503E-03 
21:00:00,0.000000E+00,1.198814E+02,0.000000E+00,4.521697E-03 
21:10:00,0.000000E+00,9.186973E+01,0.000000E+00,3.465150E-03 
21:20:00,0.000000E+00,6.481391E+01,0.000000E+00,2.444656E-03 
21:30:00,0.000000E+00,4.257545E+01,0.000000E+00,1.605864E-03 
21:40:00,0.000000E+00,2.507929E+01,0.000000E+00,9.459424E-04 
21:50:00,0.000000E+00,1.223046E+01,0.000000E+00,4.613093E-04 
22:00:00,0.000000E+00,3.915242E+00,0.000000E+00,1.476753E-04 
22:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
Peak,6.324047E+03,9.838965E+03,1.930294E-01,9.649707E-01 

Peak Vol Flow (m3/s),,,1.710495E-01,8.550913E-01 
